Room,Name,Profession,Endurance,Level,Cost
1002,Timmy,Pilot,Hard-working,1,260000000
1103,Amber,Pilot,Hard-working,1,260000000
1803,Fransisco,Pilot,Hard-working,1,260000000
2202,Juan,Pilot,Hard-working,1,260000000
2303,John,Pilot,Hard-working,1,260000000
2903,Wanda,Pilot,Hard-working,1,260000000
3403,Leonard,Pilot,Hard-working,1,260000000
201,Jeremy,Pilot,Tireless,1,5800000000
503,Sam,Pilot,Tireless,1,5800000000
602,Thomas,Pilot,Tireless,1,5800000000
702,Tammy,Pilot,Tireless,1,5800000000
1003,Dustin,Pilot,Tireless,1,5800000000
3601,Emily,Pilot,Tireless,1,5800000000
