Room,Name,Profession,Endurance,Cost
101,Terry,71,6,1700
102,Timothy,71,6,1700
103,Nicholas,71,6,1700
201,Darlene,71,6,1700
202,April,71,6,1700
203,Martha,32,6,125000000
301,Beverley,42,4,10500000
302,Edward,41,3,3100000
303,Emily,32,4,2400000
401,Bernard,43,4,10500000
402,Charlie,43,2,950000
403,Derek,43,2,950000
501,Anne,24,5,5000000
502,Derek,23,4,370000
503,Clifford,11,5,0
601,Elsie,32,6,125000000
602,Anthony,31,6,125000000
603,Norman,43,6,520000000
701,Leo,43,2,950000
702,Lori,23,2,28000
703,Mark,24,3,250000
801,Marilyn,71,6,1700
802,Danielle,31,5,10000000
803,Calvin,44,3,3050000
901,Raymond,11,5,0
902,Herbert,22,3,100000
903,Danielle,23,3,95000
1001,Erin,31,5,10000000
1002,Travis,41,3,3100000
1003,Sue,31,4,2400000
1101,Pat,43,2,950000
1102,Shannon,22,4,370000
1103,Lauren,41,6,520000000
1201,Carmen,52,4,55000000
1202,Leo,31,4,2400000
1203,Alan,43,1,310000
1301,Gene,21,3,100000
1302,Andrew,71,6,1700
1303,Karen,52,6,5800000000
1401,Travis,41,3,3100000
1402,Victor,44,3,3050000
1403,Marion,51,2,5000000
1501,Samuel,31,3,640000
1502,Rhonda,42,6,500000000
1503,Kenneth,41,6,520000000
1601,Nathan,44,3,3050000
1602,Sally,51,6,5800000000
1603,Marcus,61,3,120000000
1701,Melvin,61,4,400000000
1702,Leon,71,6,1700
1703,Diane,51,4,55000000
1801,Adam,51,3,15500000
1802,Jerry,44,5,40000000
1803,Carlos,43,2,950000
1901,Todd,11,4,70000
1902,Carlos,42,6,500000000
1903,Jay,42,6,500000000
2001,Phyllis,51,5,260000000
2002,Carolyn,52,5,260000000
2003,Walter,43,5,40000000
2101,Joanne,61,5,2000000000
2102,Roy,61,3,120000000
2103,Ricardo,51,3,15500000
2201,Raymond,43,6,520000000
2202,Carl,44,5,40000000
2203,Craig,12,5,0
2301,Eva,52,6,5800000000
2302,Kenneth,51,5,260000000
2303,Rita,44,5,40000000
2401,Florence,52,3,15500000
2402,Rita,52,1,5000000
2403,Jennifer,24,3,250000
2501,Julia,61,6,48000000000
2502,Anita,51,4,55000000
2503,Anne,44,5,40000000
2601,Chad,32,5,10000000
2602,Marilyn,51,2,5000000
2603,Tiffany,31,3,640000
2701,Lori,61,3,120000000
2702,Nicholas,41,6,520000000
2703,Steve,51,4,55000000
2801,Justin,61,4,400000000
2802,Jason,52,5,260000000
2803,Fransisco,43,5,40000000
2901,Zachary,51,3,15500000
2902,Shane,51,2,5000000
2903,Christina,22,5,2000000
3001,Kathy,51,6,5800000000
3002,Sara,61,3,120000000
3003,Hector,51,4,55000000
3101,Jean,52,6,5800000000
3102,Eugene,51,4,55000000
3103,Dean,31,4,2400000
3201,Bernard,61,5,2000000000
3202,Anna,51,5,260000000
3203,Howard,52,5,260000000
3301,Suzanne,61,3,120000000
3302,Randall,52,5,260000000
3303,Howard,41,4,10500000
3401,Rhonda,44,3,3050000
3402,Brent,32,2,180000
3403,Philip,24,6,22000000
3501,Irene,51,3,15500000
3502,Alice,44,4,10500000
3503,Christina,31,5,10000000
3601,Hector,52,6,5800000000
3602,Esther,44,6,520000000
3603,Douglas,61,4,400000000
3701,Sally,52,4,55000000
3702,Irene,41,6,520000000
3703,Sharon,52,3,15500000
3801,Hector,51,5,260000000
3802,Norman,43,5,40000000
3803,Vincent,41,4,10500000
